date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:08	594/594	---M-Z	200	added ('OK')	text/plain	etag:%22679-5632dcc3718ad-gzip%22	https://sphereidentity.com/robots.txt		(from )
08:43:08	22771/22771	---M-Z	200	added ('OK')	text/html	etag:%221525220878-gzip%22	https://sphereidentity.com/	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/index.html	(from )
08:43:09	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/xidsphere/www.google-analytics.com/analytics.js	(from https://sphereidentity.com/)
08:43:09	2165/2165	---M--	200	added ('OK')	image/png	etag:%22875-56332f6292209%22	https://sphereidentity.com/sites/default/files/favicon.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/favicon.png	(from https://sphereidentity.com/)
08:43:09	26949/26949	---M-Z	200	added ('OK')	text/css	etag:%2214bc-56336631f4196%22	https://sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI.css?p82rqt	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/css/css_Fz0QKhqg0Pox2oMEvl80tInI1QFWnJOCT_YfO4dQGCI2a15.css	(from https://sphereidentity.com/)
08:43:10	89979/89979	---M-Z	200	added ('OK')	text/css	etag:%2239dc-5637e2fca48e4%22	https://sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD8.css?p82rqt	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD82a15.css	(from https://sphereidentity.com/)
08:43:10	19185/19185	---M-Z	200	added ('OK')	text/html	etag:%221525290823-gzip%22	https://sphereidentity.com/ar	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ar.html	(from https://sphereidentity.com/)
08:43:11	19185/19185	---M-Z	200	added ('OK')	text/html	etag:%221525290824-gzip%22	https://sphereidentity.com/ru	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ru.html	(from https://sphereidentity.com/)
08:43:11	19245/19245	---M-Z	200	added ('OK')	text/html	etag:%221525290829-gzip%22	https://sphereidentity.com/zh-hans	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/zh-hans.html	(from https://sphereidentity.com/)
08:43:12	19185/19185	---M-Z	200	added ('OK')	text/html	etag:%221525290829-gzip%22	https://sphereidentity.com/ur	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ur.html	(from https://sphereidentity.com/)
08:43:13	19185/19185	---M-Z	200	added ('OK')	text/html	etag:%221525290834-gzip%22	https://sphereidentity.com/ml	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ml.html	(from https://sphereidentity.com/)
08:43:14	19185/19185	---M-Z	200	added ('OK')	text/html	etag:%221525254509-gzip%22	https://sphereidentity.com/hi	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/hi.html	(from https://sphereidentity.com/)
08:43:14	2150/2150	---M--	200	added ('OK')	image/png	etag:%22866-5633308bff0e8%22	https://sphereidentity.com/sites/default/files/1-Sphere-Identity-Logo-Header_1.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/1-Sphere-Identity-Logo-Header_1.png	(from https://sphereidentity.com/)
08:43:15	19748/19748	---M-Z	200	added ('OK')	text/html	etag:%221525303560-gzip%22	https://sphereidentity.com/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/form/homepage-form.html	(from https://sphereidentity.com/)
08:43:16	3899/3899	---M--	200	added ('OK')	image/png	etag:%22f3b-5632ccafcfbcc%22	https://sphereidentity.com/themes/Icu2/sphere/images/3-Video-Logo-Overlay.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/images/3-Video-Logo-Overlay.png	(from https://sphereidentity.com/)
08:43:16	7276/7276	---M--	200	added ('OK')	image/png	etag:%221c6c-56332fee5cdfb%22	https://sphereidentity.com/sites/default/files/inline-images/4-Business-Identity-Platform-Icon.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/4-Business-Identity-Platform-Icon.png	(from https://sphereidentity.com/)
08:43:17	7374/7374	---M--	200	added ('OK')	image/png	etag:%221cce-56332fef91790%22	https://sphereidentity.com/sites/default/files/inline-images/5-Personal-Identity-Icon.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/5-Personal-Identity-Icon.png	(from https://sphereidentity.com/)
08:43:17	5209/5209	---M--	200	added ('OK')	image/png	etag:%221459-56332ff17dab2%22	https://sphereidentity.com/sites/default/files/inline-images/6-Future-Compliant-Icon.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/6-Future-Compliant-Icon.png	(from https://sphereidentity.com/)
08:43:17	56370/56370	---M--	200	added ('OK')	image/jpeg	etag:%22068b3f3d89951c71502ea3b5cd673e0f%22	https://s3-ap-southeast-1.amazonaws.com/sphereidentity/placeholder.jpg	C:/My%20Web%20Sites/xidsphere/s3-ap-southeast-1.amazonaws.com/sphereidentity/placeholder.jpg	(from https://sphereidentity.com/)
08:43:17	3449/3449	---M--	200	added ('OK')	image/png	etag:%22d79-56332ff24001f%22	https://sphereidentity.com/sites/default/files/inline-images/7-Powered-by-Blockchain-Icon.png	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/inline-images/7-Powered-by-Blockchain-Icon.png	(from https://sphereidentity.com/)
